id,title,description,category,horizon,tags
1,Finish current sprint tasks,"Complete all assigned sprint tasks before the end of the week.",work,short_term,"planning;focus"
2,Reduce meeting overload,"Limit non-essential meetings to free up focus time.",work,short_term,"time-management;focus"
3,Improve code quality,"Refactor legacy modules and add tests to critical paths.",work,medium_term,"quality;engineering"
4,Learn a new backend framework,"Study and practice a modern backend framework.",study,medium_term,"learning;backend"
5,Prepare for technical interviews,"Solve coding problems and review system design.",study,medium_term,"career;interview"
6,Automate repetitive work tasks,"Identify and automate manual workflows.",work,medium_term,"automation;productivity"
7,Create a personal knowledge base,"Organize notes and resources into a searchable system.",personal,medium_term,"organization;knowledge"
8,Build a daily planning habit,"Plan each day with a short morning review.",personal,short_term,"habit;planning"
9,Improve focus during deep work,"Reduce distractions and use time blocking.",personal,short_term,"focus;deep-work"
10,Finish a side project,"Ship a small but complete personal project.",personal,medium_term,"project;shipping"
11,Read one book per month,"Finish at least one non-fiction book every month.",personal,long_term,"reading;learning"
12,Exercise three times per week,"Maintain a consistent workout routine.",health,medium_term,"fitness;habit"
13,Improve sleep quality,"Establish a regular sleep schedule.",health,medium_term,"sleep;health"
14,Adopt a healthier diet,"Reduce processed food and increase whole foods.",health,long_term,"nutrition;health"
15,Practice mindfulness daily,"Do short daily meditation sessions.",health,short_term,"mindfulness;stress"
16,Reduce digital distractions,"Limit social media and phone usage during work.",personal,short_term,"distraction;focus"
17,Organize home workspace,"Create a clean, ergonomic workspace at home.",home,short_term,"organization;environment"
18,Declutter living space,"Remove unused items and simplify surroundings.",home,medium_term,"minimalism;organization"
19,Create a monthly budget,"Track income and expenses with a simple budget.",finance,short_term,"budget;money"
20,Build an emergency fund,"Save enough to cover several months of expenses.",finance,long_term,"savings;security"
21,Pay off high-interest debt,"Prioritize repayment of expensive loans.",finance,medium_term,"debt;finance"
22,Start investing regularly,"Invest a fixed amount each month.",finance,long_term,"investing;wealth"
23,Improve communication skills,"Practice clear, concise communication at work.",work,medium_term,"communication;soft-skills"
24,Give constructive feedback,"Provide helpful feedback to teammates regularly.",work,short_term,"feedback;teamwork"
25,Document key workflows,"Create documentation for recurring processes.",work,short_term,"documentation;clarity"
26,Learn basic data engineering,"Understand ETL, pipelines, and data modeling.",study,medium_term,"data;learning"
27,Study distributed systems,"Learn fundamentals of distributed architectures.",study,long_term,"systems;backend"
28,Improve presentation skills,"Deliver clear, engaging presentations.",work,medium_term,"presentation;communication"
29,Build a personal portfolio,"Showcase projects and skills online.",career,medium_term,"portfolio;career"
30,Update CV and LinkedIn,"Refresh professional profiles with recent work.",career,short_term,"cv;linkedin"
31,Prepare for performance review,"Collect achievements and feedback for review.",work,short_term,"review;career"
32,Learn prompt engineering,"Practice designing effective prompts for LLMs.",study,short_term,"llm;prompt-engineering"
33,Experiment with RAG systems,"Build small RAG prototypes and iterate.",study,medium_term,"rag;ai"
34,Contribute to open source,"Make small contributions to a project.",career,medium_term,"open-source;community"
35,Improve time estimation,"Estimate tasks more accurately.",work,short_term,"planning;estimation"
36,Reduce context switching,"Batch similar tasks and minimize interruptions.",work,short_term,"focus;workflow"
37,Create weekly review routine,"Reflect on progress and plan next week.",personal,medium_term,"review;planning"
38,Build a reading list,"Curate books and articles to read.",personal,short_term,"reading;planning"
39,Learn basic design principles,"Understand layout, typography, and usability.",study,medium_term,"design;ux"
40,Practice writing regularly,"Write short reflections or blog posts weekly.",personal,medium_term,"writing;habit"
