id,task_id,framework_id,reasoning,tags
1,1,4,"Time Blocking structures the project report into focused calendar blocks.","planning;time"
2,1,9,"Deep Work supports uninterrupted writing for complex reports.","focus;writing"
3,2,10,"2-Minute Rule helps quickly start small cleaning actions in the kitchen.","quick;home"
4,2,23,"Task Batching groups similar cleaning tasks for efficiency.","efficiency;home"
5,3,8,"Spaced Repetition reinforces exam material over multiple sessions.","study;memory"
6,3,9,"Deep Work supports intense, distraction-free exam study.","focus;study"
7,4,4,"Time Blocking reserves slots for weekly meal planning.","planning;home"
8,4,23,"Task Batching groups meal planning tasks (recipes, shopping list).","efficiency;planning"
9,5,25,"Focus Blocks provide longer, structured workout periods.","fitness;focus"
10,5,26,"Daily Highlight makes the workout the main focus of the day.","focus;health"
11,6,3,"GTD organizes workspace tasks into clear lists.","organization;workspace"
12,6,11,"Kanban visualizes workspace organization steps.","visual;home"
13,7,11,"Kanban helps track and move pull requests through review stages.","workflow;code-review"
14,7,32,"Daily Standup-style check keeps PR review progress visible.","team;routine"
15,8,14,"Bullet Journaling can track reading progress and notes.","planning;reading"
16,8,7,"SMART Goals define clear reading targets (pages per day).","goals;reading"
17,9,2,"Eisenhower Matrix prioritizes tasks for tomorrow’s schedule.","prioritization;planning"
18,9,20,"Weekly Review informs what should be planned for the next day.","reflection;planning"
19,10,38,"Task Decomposition breaks documentation into smaller sections.","planning;docs"
20,10,54,"Daily Checklist ensures all documentation sections are covered.","checklist;docs"
21,11,42,"Micro-Goals break coding practice into tiny, achievable steps.","goals;coding"
22,11,19,"MIT focuses on one key coding problem first.","focus;study"
23,12,10,"2-Minute Rule helps quickly start vacuuming small areas.","quick;home"
24,12,23,"Task Batching groups vacuuming with other floor-cleaning tasks.","efficiency;home"
25,13,54,"Daily Checklist ensures key meeting points are captured.","planning;meetings"
26,13,14,"Bullet Journaling keeps meeting notes organized.","notes;work"
27,14,29,"Mind Mapping helps structure presentation content visually.","creative;presentation"
28,14,39,"Backwards Planning designs slides from the final message backward.","planning;presentation"
29,15,10,"2-Minute Rule helps start simple laundry tasks quickly.","quick;home"
30,15,23,"Task Batching groups laundry with other washing-related tasks.","efficiency;home"
31,16,4,"Time Blocking reserves a slot for weekly grocery shopping.","planning;errands"
32,16,23,"Task Batching groups grocery shopping with meal prep tasks.","efficiency;home"
33,17,26,"Daily Highlight makes the walk the main wellness focus.","health;focus"
34,17,46,"Daily Rituals support a consistent walking routine.","routine;fitness"
35,18,34,"Habit Stacking attaches meditation to an existing daily habit.","habits;mindfulness"
36,18,35,"5-Second Rule reduces hesitation before starting meditation.","motivation;personal"
37,19,3,"GTD organizes digital file cleanup into clear actions.","organization;digital"
38,19,11,"Kanban visualizes progress on organizing digital files.","workflow;home"
39,20,23,"Task Batching groups email responses into focused sessions.","efficiency;email"
40,20,28,"Not-To-Do List helps avoid unnecessary email threads.","focus;email"
41,21,29,"Mind Mapping supports creative idea generation.","creative;brainstorm"
42,21,41,"Work Sprints enable short, intense brainstorming periods.","focus;creative"
43,22,29,"Mind Mapping helps explore design concepts visually.","creative;design"
44,22,42,"Micro-Goals break design practice into small steps.","goals;creative"
45,23,46,"Daily Rituals support consistent plant care.","routine;home"
46,23,10,"2-Minute Rule makes watering plants quick and easy.","quick;home"
47,24,23,"Task Batching groups bathroom cleaning tasks together.","efficiency;home"
48,24,38,"Task Decomposition breaks bathroom cleaning into smaller steps.","planning;home"
49,25,9,"Deep Work supports focused coding for complex features.","focus;work"
50,25,4,"Time Blocking reserves dedicated coding blocks.","planning;coding"
51,26,38,"Task Decomposition breaks debugging into smaller investigations.","planning;debugging"
52,26,41,"Work Sprints support intense debugging sessions.","focus;debugging"
53,27,8,"Spaced Repetition reinforces study notes over time.","study;memory"
54,27,58,"Task Journaling helps reflect on what was learned.","reflection;study"
55,28,8,"Spaced Repetition supports language vocabulary retention.","study;language"
56,28,42,"Micro-Goals break language practice into small tasks.","goals;study"
57,29,46,"Daily Rituals support a consistent stretching routine.","routine;fitness"
58,29,26,"Daily Highlight makes stretching the main wellness focus.","health;habit"
59,30,23,"Task Batching groups meal prep tasks for efficiency.","efficiency;home"
60,30,4,"Time Blocking reserves a slot for batch meal prep.","planning;home"
61,31,3,"GTD organizes bookshelf tasks into actionable items.","organization;home"
62,31,11,"Kanban visualizes progress on organizing books.","visual;home"
63,32,21,"Monthly Review supports regular bill payment review.","planning;finance"
64,32,54,"Daily Checklist ensures all bills are paid.","checklist;finance"
65,33,7,"SMART Goals define clear resume update objectives.","goals;career"
66,33,38,"Task Decomposition breaks resume updates into sections.","planning;career"
67,34,7,"SMART Goals clarify job application targets.","goals;career"
68,34,10,"2-Minute Rule helps quickly start small application tasks.","quick;career"
69,35,23,"Task Batching groups fridge cleaning with related tasks.","efficiency;home"
70,35,38,"Task Decomposition breaks fridge cleaning into shelves/sections.","planning;home"
71,36,39,"Backwards Planning structures blog posts from final message.","planning;writing"
72,36,40,"Daily Scorecard tracks writing productivity.","tracking;creative"
73,37,41,"Work Sprints support recording video in focused bursts.","focus;creative"
74,37,39,"Backwards Planning designs video content from desired outcome.","planning;video"
75,38,41,"Work Sprints support focused video editing sessions.","focus;editing"
76,38,23,"Task Batching groups editing tasks (cuts, color, audio).","efficiency;creative"
77,39,8,"Spaced Repetition supports piano practice over time.","study;music"
