task,category,difficulty,duration_estimate,instructions,reasoning,tags
Declutter kitchen counter,home,easy,15,1. Clear all non-kitchen items off the counter. 2. Put away appliances you do not use daily. 3. Wipe the surface clean. 4. Return only essential items to the counter.,"This is a simple, low-effort home organization task with a clear start and finish, making it easy to complete in one short session.","home,organization,declutter,cleaning,quick-win"
Plan weekly meals,home,medium,30,1. Check your schedule for the week. 2. Choose meals for each day. 3. List ingredients needed. 4. Identify items already in your pantry or fridge. 5. Write a shopping list.,"Meal planning requires a bit of decision-making and coordination, but it is still straightforward and time-bounded.","home,planning,meal-prep,organization,shopping"
Organize digital photos,personal,medium,45,1. Create folders by year or event. 2. Sort photos into the appropriate folders. 3. Delete obvious duplicates or blurry images. 4. Back up the organized library.,"This task involves sorting, decision-making, and file management, which makes it moderately demanding but manageable.","personal,digital-organization,photos,backup,sorting"
Clean bathroom sink and mirror,home,easy,20,1. Remove items from the sink and counter. 2. Spray cleaner on the sink and mirror. 3. Wipe surfaces thoroughly. 4. Put items back neatly.,"A concise cleaning task with clear steps and immediate visible results, suitable for a short productivity burst.","home,cleaning,bathroom,maintenance,quick-task"
Complete a 20-minute workout,fitness,medium,20,"1. Warm up for 3 minutes. 2. Do 3 rounds of bodyweight exercises such as squats, push-ups, and lunges. 3. Rest briefly between rounds. 4. Cool down and stretch.","This task requires physical effort and pacing, but the time commitment is limited and structured.","fitness,exercise,workout,health,bodyweight"
Review and reply to emails,work,medium,40,1. Open your inbox and sort messages by priority. 2. Reply to urgent emails first. 3. Archive or delete low-priority messages. 4. Flag any emails that require follow-up later.,Email management is a common work productivity task that involves prioritization and communication.,"work,email,communication,prioritization,admin"
Read one research article,study,medium,50,1. Skim the abstract and headings. 2. Read the introduction and conclusion carefully. 3. Review figures or tables. 4. Write a short summary of the main points.,Reading and summarizing academic content is a focused study task that strengthens comprehension and retention.,"study,reading,research,summary,academics"
Prepare tomorrow's outfit,personal,easy,10,1. Check the weather forecast. 2. Choose clothing for the day. 3. Make sure items are clean and ready. 4. Set them aside for easy access in the morning.,This is a quick preparatory task that reduces decision fatigue and saves time later.,"personal,planning,prep,organization,morning-routine"
Draft a project status update,work,medium,30,1. List key accomplishments from the period. 2. Note current progress and blockers. 3. Include next steps and deadlines. 4. Edit for clarity and send to stakeholders.,"Writing a status update requires synthesis of information and concise communication, making it a moderate work task.","work,writing,reporting,communication,status-update"
Meditate for 10 minutes,personal,easy,10,"1. Find a quiet place. 2. Set a 10-minute timer. 3. Focus on breathing. 4. When distracted, gently return attention to the breath.",A short mindfulness practice is simple to execute and supports mental clarity and stress reduction.,"personal,mindfulness,meditation,wellbeing,focus"
Create a study flashcard set,study,medium,35,1. Identify key terms or concepts. 2. Write a question on one side and an answer on the other. 3. Keep each card focused on one idea. 4. Review and organize the cards by topic.,Creating flashcards is a productive learning method that involves organizing and distilling information.,"study,flashcards,learning,memorization,exam-prep"
Tidy desk workspace,work,easy,15,1. Remove trash and unnecessary papers. 2. Put supplies in their proper places. 3. Wipe the desk surface. 4. Arrange essential items for easy access.,"A clean workspace supports focus and is quick to complete, making it an easy productivity reset.","work,organization,workspace,cleaning,focus"
Go for a brisk walk,fitness,easy,30,1. Put on comfortable shoes. 2. Walk at a brisk pace for 20 to 30 minutes. 3. Maintain steady breathing. 4. Stretch lightly afterward if needed.,This is a straightforward cardio activity with low setup requirements and broad accessibility.,"fitness,cardio,walking,health,wellness"
Write a journal entry,personal,easy,20,1. Find a quiet moment. 2. Write about how you are feeling or what happened today. 3. Include one thing you learned or appreciated. 4. Review and save the entry.,Journaling is a reflective task that is easy to start and helps organize thoughts and emotions.,"personal,journaling,reflection,writing,wellbeing"
Build a budget spreadsheet,personal,hard,90,1. List sources of income. 2. Add all recurring and variable expenses. 3. Categorize spending. 4. Calculate monthly totals and savings. 5. Review for accuracy and adjust categories as needed.,"Budgeting requires collecting data, categorizing finances, and performing calculations, which makes it a more complex task.","personal,finance,budgeting,spreadsheet,planning"
Outline a presentation,work,medium,45,1. Define the presentation goal. 2. List the main sections. 3. Add key points for each section. 4. Organize the flow logically. 5. Review for clarity and completeness.,"Outlining requires structuring ideas and planning communication, which is a moderate cognitive task.","work,presentation,planning,outlining,communication"
Practice vocabulary review,study,easy,15,1. Select a small set of words. 2. Review definitions or translations. 3. Quiz yourself aloud or in writing. 4. Repeat the ones you missed.,"This is a short, focused study repetition task that supports memory through active recall.","study,vocabulary,review,memory,language-learning"
Prepare a healthy snack box,home,easy,15,"1. Choose a container. 2. Add a protein, fruit, and vegetable. 3. Include a small snack or dip if desired. 4. Store it in the fridge or take it with you.",This is a simple food-prep task that improves readiness for the day with minimal effort.,"home,meal-prep,snack,health,organization"
Schedule weekly calendar blocks,work,medium,35,1. Review upcoming deadlines and meetings. 2. Block focused time for priority tasks. 3. Add breaks and buffer time. 4. Check for conflicts and adjust. 5. Save the updated calendar.,"Calendar blocking requires prioritization and planning across multiple commitments, making it moderately complex.","work,calendar,planning,time-management,scheduling"
