id,task,category,difficulty,duration_estimate,framework_id,framework_name,reasoning,instructions,tags
1,Write a 2-page project summary,work,medium,45,4,Time Blocking,"Time Blocking helps allocate a clear writing window.","Block 45 minutes, outline key points, write summary, revise.","work;writing;planning"
2,Organize pantry shelves,home,medium,40,38,Task Decomposition,"Breaking the pantry into sections makes the task manageable.","Empty one shelf, clean it, categorize items, restock.","home;organization"
3,Practice 20-minute mobility routine,fitness,easy,20,46,Daily Rituals,"Mobility benefits from consistent daily habits.","Warm up joints, perform hip circles, shoulder mobility, leg swings.","fitness;mobility;routine"
4,Review study notes for chapter 3,study,easy,25,8,Spaced Repetition,"Reviewing notes at intervals improves retention.","Read notes, highlight key ideas, summarize in 3 sentences.","study;memory"
5,Write a blog outline,creative,medium,30,29,Mind Mapping,"Mind Mapping helps structure ideas visually.","Create central topic, branch subtopics, add supporting points.","creative;writing"
6,Clean bathroom sink and counter,home,easy,20,23,Task Batching,"Batching cleaning tasks increases efficiency.","Gather supplies, scrub sink, wipe counter, rinse surfaces.","home;cleaning"
7,Prepare weekly fitness plan,fitness,medium,30,45,Time Horizons,"Planning across horizons aligns short and long-term goals.","Define weekly goals, assign workout days, set intensity.","fitness;planning"
8,Write meeting agenda,work,easy,15,2,Eisenhower Matrix,"Prioritization clarifies agenda items.","List topics, categorize by urgency/importance, finalize order.","work;meetings"
9,Practice vocabulary flashcards,study,easy,20,8,Spaced Repetition,"Flashcards work best with spaced intervals.","Review cards, mark difficult ones, repeat after 10 minutes.","study;language"
10,Organize digital downloads folder,home,medium,35,3,GTD,"GTD helps categorize and clarify digital clutter.","Create folders, sort files, delete duplicates.","home;digital"
11,Prepare presentation introduction,work,medium,30,39,Backwards Planning,"Start from the final message and work backward.","Define key message, craft hook, write intro paragraph.","work;presentation"
12,Do a 30-minute yoga flow,fitness,medium,30,17,Energy-Based Scheduling,"Yoga is best matched to medium-energy periods.","Warm up, perform flow sequence, cool down with breathing.","fitness;yoga"
13,Write daily reflection,personal,easy,15,58,Task Journaling,"Journaling improves clarity and reflection.","Write 3 insights, 1 challenge, 1 gratitude.","personal;reflection"
14,Sketch 3 design concepts,creative,medium,40,42,Micro-Goals,"Breaking sketches into small goals increases output.","Sketch concept 1, refine lines, repeat for concepts 2 and 3.","creative;design"
15,Clean microwave interior,home,easy,10,10,2-Minute Rule,"Quick tasks should be done immediately.","Wipe interior, clean turntable, dry surfaces.","home;cleaning"
16,Review pull requests,work,medium,45,11,Kanban,"Kanban visualizes review progress.","Open PR list, move items through review stages.","work;code-review"
17,Practice breathing meditation,personal,easy,10,34,Habit Stacking,"Attach meditation to an existing habit.","Sit comfortably, inhale 4s, exhale 6s, repeat.","personal;meditation"
18,Prepare lunchbox for tomorrow,home,easy,15,26,Daily Highlight,"Making lunch the highlight ensures consistency.","Cook protein, add vegetables, pack snacks.","home;mealprep"
19,Write 1-page research reflection,study,medium,30,40,Daily Scorecard,"Score reflections to track learning quality.","Summarize findings, add personal interpretation.","study;reflection"
20,Organize wardrobe drawers,home,medium,35,38,Task Decomposition,"Breaking drawers into sections reduces overwhelm.","Empty drawer, sort items, fold, restock.","home;organization"
21,Practice guitar chords,personal,medium,30,25,Focus Blocks,"Longer focus periods improve musical practice.","Warm up fingers, practice chord transitions.","personal;music"
22,Prepare smoothie for breakfast,home,easy,10,37,Time Anchoring,"Anchoring tasks to morning improves consistency.","Blend fruit, yogurt, seeds, store in fridge.","home;cooking"
23,Write sprint tasks,work,medium,40,20,Weekly Review,"Weekly review clarifies sprint priorities.","List tasks, estimate effort, assign owners.","work;planning"
24,Clean living room surfaces,home,medium,30,23,Task Batching,"Batching cleaning tasks increases efficiency.","Dust shelves, wipe table, clean TV stand.","home;cleaning"
25,Practice drawing shapes,creative,easy,20,29,Mind Mapping,"Visual mapping helps understand shape relationships.","Draw circles, squares, triangles, combine forms.","creative;art"
26,Write documentation for new feature,work,medium,60,38,Task Decomposition,"Breaking documentation into sections improves clarity.","Outline sections, write drafts, refine examples.","work;documentation"
27,Clean stovetop thoroughly,home,easy,15,10,2-Minute Rule,"Quick cleaning tasks should be done immediately.","Remove grates, wipe surface, clean burners.","home;cleaning"
28,Practice coding interview questions,career,hard,60,41,Work Sprints,"Short sprints improve problem-solving focus.","Set timer, solve one problem, review solution.","career;coding"
29,Prepare weekly meal plan,home,medium,45,4,Time Blocking,"Meal planning fits well into structured time blocks.","Choose recipes, assign days, list ingredients.","home;planning"
