task,category,difficulty,duration_estimate,framework_name,reasoning,instructions,tags
Write a 2-page project summary,work,medium,45,Time Blocking,Time Blocking helps allocate a clear writing window.,"Block 45 minutes, outline key points, write summary, revise.",work;writing;planning
Organize pantry shelves,home,medium,40,Task Decomposition,Breaking the pantry into sections makes the task manageable.,"Empty one shelf, clean it, categorize items, restock.",home;organization
Practice 20-minute mobility routine,fitness,easy,20,Daily Rituals,Mobility benefits from consistent daily habits.,"Warm up joints, perform hip circles, shoulder mobility, leg swings.",fitness;mobility;routine
Review study notes for chapter 3,study,easy,25,Spaced Repetition,Reviewing notes at intervals improves retention.,"Read notes, highlight key ideas, summarize in 3 sentences.",study;memory
Write a blog outline,creative,medium,30,Mind Mapping,Mind Mapping helps structure ideas visually.,"Create central topic, branch subtopics, add supporting points.",creative;writing
Clean bathroom sink and counter,home,easy,20,Task Batching,Batching cleaning tasks increases efficiency.,"Gather supplies, scrub sink, wipe counter, rinse surfaces.",home;cleaning
Prepare weekly fitness plan,fitness,medium,30,Time Horizons,Planning across horizons aligns short and long-term goals.,"Define weekly goals, assign workout days, set intensity.",fitness;planning
Write meeting agenda,work,easy,15,Eisenhower Matrix,Prioritization clarifies agenda items.,"List topics, categorize by urgency/importance, finalize order.",work;meetings
Practice vocabulary flashcards,study,easy,20,Spaced Repetition,Flashcards work best with spaced intervals.,"Review cards, mark difficult ones, repeat after 10 minutes.",study;language
Organize digital downloads folder,home,medium,35,GTD,GTD helps categorize and clarify digital clutter.,"Create folders, sort files, delete duplicates.",home;digital
Prepare presentation introduction,work,medium,30,Backwards Planning,Start from the final message and work backward.,"Define key message, craft hook, write intro paragraph.",work;presentation
Do a 30-minute yoga flow,fitness,medium,30,Energy-Based Scheduling,Yoga is best matched to medium-energy periods.,"Warm up, perform flow sequence, cool down with breathing.",fitness;yoga
Write daily reflection,personal,easy,15,Task Journaling,Journaling improves clarity and reflection.,"Write 3 insights, 1 challenge, 1 gratitude.",personal;reflection
Sketch 3 design concepts,creative,medium,40,Micro-Goals,Breaking sketches into small goals increases output.,"Sketch concept 1, refine lines, repeat for concepts 2 and 3.",creative;design
Clean microwave interior,home,easy,10,2-Minute Rule,Quick tasks should be done immediately.,"Wipe interior, clean turntable, dry surfaces.",home;cleaning
